old_ko_id,action,reason,new_ko_ids,detail
ko_0003dc96ea6cfa09,reject_old,evidence_all_unrelated,,
ko_0a5634c7d18e0843,reject_old,evidence_all_startup_or_runtime_not_shutdown,,
ko_2ba76711e02b5977,state_only,post-batch1 audit,,value_disagreement
ko_0375092c506a85d8,split,polarity: high pressure; polarity: low pressure,ko_153b5ac79d50e1ef;ko_afb07bdae294ae8a,"[{""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""low_pressure_cutout"", ""new_canonical_key"": ""hvac:screw_chiller:parameter:高压_断开_low_pressure_cutout"", ""new_ko_id"": ""ko_153b5ac79d50e1ef"", ""reason"": ""polarity: low pressure"", ""review_status"": ""published"", ""title"": ""低压断开""}, {""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""high_pressure_cutout"", ""new_canonical_key"": ""hvac:screw_chiller:parameter:高压_断开_high_pressure_cutout"", ""new_ko_id"": ""ko_afb07bdae294ae8a"", ""reason"": ""polarity: high pressure"", ""review_status"": ""published"", ""title"": ""高压断开""}]"
ko_04dc5b2658675b79,split,cross-topic pressure fault; kept oil pressure evidence,ko_c08be308ac51a42f;ko_3c9bcd473b05dba1,"[{""consensus_state"": ""single_source"", ""evidence_count"": 5, ""group_key"": ""rejected_evap_pressure_fault"", ""new_canonical_key"": ""hvac:centrifugal_chiller:fault_code:油压差过低_rejected_evap_pressure_fault"", ""new_ko_id"": ""ko_c08be308ac51a42f"", ""reason"": ""cross-topic pressure fault"", ""review_status"": ""rejected"", ""title"": ""蒸发压力保护误抽取""}, {""consensus_state"": ""value_disagreement"", ""evidence_count"": 2, ""group_key"": ""low_oil_pressure_differential"", ""new_canonical_key"": ""hvac:centrifugal_chiller:fault_code:油压差过低_low_oil_pressure_differential"", ""new_ko_id"": ""ko_3c9bcd473b05dba1"", ""reason"": ""kept oil pressure evidence"", ""review_status"": ""published"", ""title"": ""油压差过低""}]"
ko_050ac03ff6e2b012,split,cross-topic standard evidence; kept climate design evidence,ko_dd1bf2e52db527ef;ko_4362e66faa129cfe,"[{""consensus_state"": ""single_source"", ""evidence_count"": 3, ""group_key"": ""rejected_unrelated_standard"", ""new_canonical_key"": ""hvac:standard_reference:parameter:outdoor_design_temperatures_rejected_unrelated_standard"", ""new_ko_id"": ""ko_dd1bf2e52db527ef"", ""reason"": ""cross-topic standard evidence"", ""review_status"": ""rejected"", ""title"": ""无关标准证据""}, {""consensus_state"": ""value_disagreement"", ""evidence_count"": 3, ""group_key"": ""outdoor_design_temperatures"", ""new_canonical_key"": ""hvac:standard_reference:parameter:outdoor_design_temperatures_outdoor_design_temperatures"", ""new_ko_id"": ""ko_4362e66faa129cfe"", ""reason"": ""kept climate design evidence"", ""review_status"": ""published"", ""title"": ""outdoor design temperatures""}]"
ko_051d666042fe81b7,split,VOC/formaldehyde concept; unit ventilator concept,ko_142e81d48518f58f;ko_48cd6e165034730c,"[{""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""voc_formaldehyde"", ""new_canonical_key"": ""hvac:standard_reference:parameter:maximum_solvent_vapor_concentration_for_insurance_voc_formaldehyde"", ""new_ko_id"": ""ko_142e81d48518f58f"", ""reason"": ""VOC/formaldehyde concept"", ""review_status"": ""published"", ""title"": ""Maximum solvent vapor concentration""}, {""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""unit_ventilator_selection"", ""new_canonical_key"": ""hvac:standard_reference:parameter:maximum_solvent_vapor_concentration_for_insurance_unit_ventilator_selection"", ""new_ko_id"": ""ko_48cd6e165034730c"", ""reason"": ""unit ventilator concept"", ""review_status"": ""published"", ""title"": ""Unit ventilator selection""}]"
ko_05b9aebdde71d566,split,different concept: discharge pressure; different concept: slide valve,ko_b451ac0ab2f009d8;ko_c15d1b6c2a74b2aa,"[{""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""discharge_pressure_limit"", ""new_canonical_key"": ""hvac:screw_chiller:parameter:压力调节阀设定点_discharge_pressure_limit"", ""new_ko_id"": ""ko_b451ac0ab2f009d8"", ""reason"": ""different concept: discharge pressure"", ""review_status"": ""published"", ""title"": ""排气压力限定值""}, {""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""slide_valve_trigger"", ""new_canonical_key"": ""hvac:screw_chiller:parameter:压力调节阀设定点_slide_valve_trigger"", ""new_ko_id"": ""ko_c15d1b6c2a74b2aa"", ""reason"": ""different concept: slide valve"", ""review_status"": ""published"", ""title"": ""滑阀位置触发""}]"
ko_09774088f47b820e,split,duct: cold duct; duct: hot deck,ko_e5087c56eafacc7b;ko_089ed2490ecd65b6,"[{""consensus_state"": ""value_disagreement"", ""evidence_count"": 3, ""group_key"": ""cold_duct_control"", ""new_canonical_key"": ""hvac:ahu:operational_sequence:temperature_control_cooling_mode_with_cold_duct_sat_room_temp_cold_duct_control"", ""new_ko_id"": ""ko_e5087c56eafacc7b"", ""reason"": ""duct: cold duct"", ""review_status"": ""published"", ""title"": ""Cold Duct Temperature Control""}, {""consensus_state"": ""value_disagreement"", ""evidence_count"": 2, ""group_key"": ""hot_deck_control"", ""new_canonical_key"": ""hvac:ahu:operational_sequence:temperature_control_cooling_mode_with_cold_duct_sat_room_temp_hot_deck_control"", ""new_ko_id"": ""ko_089ed2490ecd65b6"", ""reason"": ""duct: hot deck"", ""review_status"": ""published"", ""title"": ""Hot Deck Temperature Control""}]"
ko_0a2c2eebadb6cf7a,split,cross-topic water quality; kept voltage evidence; ocr garbage,ko_d26e4307f3f97972;ko_c299ebd3120bcd8c;ko_8ed8b2c1f6c413c9,"[{""consensus_state"": ""single_source"", ""evidence_count"": 2, ""group_key"": ""rejected_ocr_garbage"", ""new_canonical_key"": ""hvac:screw_chiller:parameter:主电源电压波动_rejected_ocr_garbage"", ""new_ko_id"": ""ko_d26e4307f3f97972"", ""reason"": ""ocr garbage"", ""review_status"": ""rejected"", ""title"": ""OCR乱码证据""}, {""consensus_state"": ""value_disagreement"", ""evidence_count"": 3, ""group_key"": ""main_power_voltage_variation"", ""new_canonical_key"": ""hvac:screw_chiller:parameter:主电源电压波动_main_power_voltage_variation"", ""new_ko_id"": ""ko_c299ebd3120bcd8c"", ""reason"": ""kept voltage evidence"", ""review_status"": ""published"", ""title"": ""主电源电压波动""}, {""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""rejected_water_quality"", ""new_canonical_key"": ""hvac:screw_chiller:parameter:主电源电压波动_rejected_water_quality"", ""new_ko_id"": ""ko_8ed8b2c1f6c413c9"", ""reason"": ""cross-topic water quality"", ""review_status"": ""rejected"", ""title"": ""水质证据误抽取""}]"
ko_0aa1d7491394e13d,split,fault_code number,ko_c57f0df338badfaa;ko_4f1404365b540a83,"[{""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""fc_3"", ""new_canonical_key"": ""hvac:ahu:fault_diagnostic_rule:afdd_fault_condition_fc_13_fc_3"", ""new_ko_id"": ""ko_c57f0df338badfaa"", ""reason"": ""fault_code number"", ""review_status"": ""published"", ""title"": ""AFDD Fault Condition FC#3""}, {""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""fc_13"", ""new_canonical_key"": ""hvac:ahu:fault_diagnostic_rule:afdd_fault_condition_fc_13_fc_13"", ""new_ko_id"": ""ko_4f1404365b540a83"", ""reason"": ""fault_code number"", ""review_status"": ""published"", ""title"": ""AFDD Fault Condition FC#13""}]"
ko_0d80e765f6b64a5c,split,fault_code number,ko_5455fa8b83b86eff;ko_8e12f7dd8703907d,"[{""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""fc_6"", ""new_canonical_key"": ""hvac:hot_water_plant:fault_diagnostic_rule:hw_plant_fc_9_return_temperature_too_low_condensing_risk_fc_6"", ""new_ko_id"": ""ko_5455fa8b83b86eff"", ""reason"": ""fault_code number"", ""review_status"": ""published"", ""title"": ""HW Plant FC#6""}, {""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""fc_9"", ""new_canonical_key"": ""hvac:hot_water_plant:fault_diagnostic_rule:hw_plant_fc_9_return_temperature_too_low_condensing_risk_fc_9"", ""new_ko_id"": ""ko_8e12f7dd8703907d"", ""reason"": ""fault_code number"", ""review_status"": ""published"", ""title"": ""HW Plant FC#9""}]"
ko_178654fc424a0af4,split,heating vs cooling,ko_aa0c8a9f85876f81;ko_062ec61c2e07a700,"[{""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""heating_rated_power"", ""new_canonical_key"": ""hvac:air_cooled_modular_heat_pump:performance_spec:制冷额定总输入功率_heating_rated_power"", ""new_ko_id"": ""ko_aa0c8a9f85876f81"", ""reason"": ""heating vs cooling"", ""review_status"": ""published"", ""title"": ""制热额定总输入功率""}, {""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""cooling_rated_power"", ""new_canonical_key"": ""hvac:air_cooled_modular_heat_pump:performance_spec:制冷额定总输入功率_cooling_rated_power"", ""new_ko_id"": ""ko_062ec61c2e07a700"", ""reason"": ""heating vs cooling"", ""review_status"": ""published"", ""title"": ""制冷额定总输入功率""}]"
ko_2108bb796ebd7b19,split,different component: compressor; different component: filter drier,ko_e7125201d01b575e;ko_4c9397da8f5aff04,"[{""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""compressor_disassembly"", ""new_canonical_key"": ""hvac:screw_chiller:maintenance:压缩机拆卸步骤_compressor_disassembly"", ""new_ko_id"": ""ko_e7125201d01b575e"", ""reason"": ""different component: compressor"", ""review_status"": ""published"", ""title"": ""压缩机拆卸步骤""}, {""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""filter_drier_service"", ""new_canonical_key"": ""hvac:screw_chiller:maintenance:压缩机拆卸步骤_filter_drier_service"", ""new_ko_id"": ""ko_4c9397da8f5aff04"", ""reason"": ""different component: filter drier"", ""review_status"": ""published"", ""title"": ""干燥过滤器拆装""}]"
ko_22c130aad4ba2827,split,refrigerant split,ko_f70add546e7a4b75;ko_e65a4778ed0d164e;ko_795e0a9b6095e1dc;ko_8034d32d194e4a01,"[{""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""r600a"", ""new_canonical_key"": ""hvac:standard_reference:parameter:normal_boiling_point_r600a"", ""new_ko_id"": ""ko_f70add546e7a4b75"", ""reason"": ""refrigerant split"", ""review_status"": ""published"", ""title"": ""R600A normal boiling point""}, {""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""r134a"", ""new_canonical_key"": ""hvac:standard_reference:parameter:normal_boiling_point_r134a"", ""new_ko_id"": ""ko_e65a4778ed0d164e"", ""reason"": ""refrigerant split"", ""review_status"": ""published"", ""title"": ""R134A normal boiling point""}, {""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""r732"", ""new_canonical_key"": ""hvac:standard_reference:parameter:normal_boiling_point_r732"", ""new_ko_id"": ""ko_795e0a9b6095e1dc"", ""reason"": ""refrigerant split"", ""review_status"": ""published"", ""title"": ""R732 normal boiling point""}, {""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""r740"", ""new_canonical_key"": ""hvac:standard_reference:parameter:normal_boiling_point_r740"", ""new_ko_id"": ""ko_8034d32d194e4a01"", ""reason"": ""refrigerant split"", ""review_status"": ""published"", ""title"": ""R740 normal boiling point""}]"
ko_2cb2a95fb07241cc,split,subsystem: refrigerant side; subsystem: water side,ko_ebeda05be643f557;ko_f0e40fdc0024c413,"[{""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""refrigerant_side_pressure"", ""new_canonical_key"": ""hvac:screw_chiller:performance_spec:最大允许压力_refrigerant_side_pressure"", ""new_ko_id"": ""ko_ebeda05be643f557"", ""reason"": ""subsystem: refrigerant side"", ""review_status"": ""published"", ""title"": ""冷媒侧最大允许压力""}, {""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""water_side_pressure"", ""new_canonical_key"": ""hvac:screw_chiller:performance_spec:最大允许压力_water_side_pressure"", ""new_ko_id"": ""ko_f0e40fdc0024c413"", ""reason"": ""subsystem: water side"", ""review_status"": ""published"", ""title"": ""水侧最大允许压力""}]"
ko_3d285aa3a09556b2,split,control delta; rated condition,ko_0bc07187af50b8b8;ko_5cb26f01b225eb4a,"[{""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""rated_leaving_water_temperature"", ""new_canonical_key"": ""hvac:screw_chiller:parameter:制冷模式出水温度设定值_rated_leaving_water_temperature"", ""new_ko_id"": ""ko_0bc07187af50b8b8"", ""reason"": ""rated condition"", ""review_status"": ""published"", ""title"": ""标准空调工况出水额定温度""}, {""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""cooling_restart_delta"", ""new_canonical_key"": ""hvac:screw_chiller:parameter:制冷模式出水温度设定值_cooling_restart_delta"", ""new_ko_id"": ""ko_5cb26f01b225eb4a"", ""reason"": ""control delta"", ""review_status"": ""published"", ""title"": ""制冷模式出水温度重启偏差""}]"
ko_497eb8d85aae2821,split,fault_code number,ko_f1cb867e53c88035;ko_47e6643603278ea8;ko_e7fbc04f252e8219,"[{""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""fc_8"", ""new_canonical_key"": ""hvac:hot_water_plant:fault_diagnostic_rule:afdd_fc_10_supply_temperature_sensor_deviation_fc_8"", ""new_ko_id"": ""ko_f1cb867e53c88035"", ""reason"": ""fault_code number"", ""review_status"": ""published"", ""title"": ""AFDD FC#8""}, {""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""fc_10"", ""new_canonical_key"": ""hvac:hot_water_plant:fault_diagnostic_rule:afdd_fc_10_supply_temperature_sensor_deviation_fc_10"", ""new_ko_id"": ""ko_47e6643603278ea8"", ""reason"": ""fault_code number"", ""review_status"": ""published"", ""title"": ""AFDD FC#10""}, {""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""fc_11"", ""new_canonical_key"": ""hvac:hot_water_plant:fault_diagnostic_rule:afdd_fc_10_supply_temperature_sensor_deviation_fc_11"", ""new_ko_id"": ""ko_e7fbc04f252e8219"", ""reason"": ""fault_code number"", ""review_status"": ""published"", ""title"": ""AFDD FC#11""}]"
ko_4a7e489f00e85fa8,split,polarity: high pressure; polarity: low pressure,ko_24db42b7182d4ede;ko_81ad4fef0576796a,"[{""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""high_pressure_cutout"", ""new_canonical_key"": ""hvac:centrifugal_chiller:parameter:高压_断开_high_pressure_cutout"", ""new_ko_id"": ""ko_24db42b7182d4ede"", ""reason"": ""polarity: high pressure"", ""review_status"": ""published"", ""title"": ""高压断开""}, {""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""low_pressure_cutout"", ""new_canonical_key"": ""hvac:centrifugal_chiller:parameter:高压_断开_low_pressure_cutout"", ""new_ko_id"": ""ko_81ad4fef0576796a"", ""reason"": ""polarity: low pressure"", ""review_status"": ""published"", ""title"": ""低压断开""}]"
ko_5d02f6cccbb51a2a,split,cross-topic test temperature; kept pumpout evidence,ko_f03ea9b600722f30;ko_fbe65a7798733883,"[{""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""pumpout_start_setpoint"", ""new_canonical_key"": ""hvac:centrifugal_chiller:parameter:抽空启动设定点_pumpout_start_setpoint"", ""new_ko_id"": ""ko_f03ea9b600722f30"", ""reason"": ""kept pumpout evidence"", ""review_status"": ""published"", ""title"": ""抽空启动设定点""}, {""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""rejected_test_temperature"", ""new_canonical_key"": ""hvac:centrifugal_chiller:parameter:抽空启动设定点_rejected_test_temperature"", ""new_ko_id"": ""ko_fbe65a7798733883"", ""reason"": ""cross-topic test temperature"", ""review_status"": ""rejected"", ""title"": ""试验温度误抽取""}]"
ko_69ed0c22154f8e08,split,refrigerant split,ko_32a6334605cafc3b;ko_92e966d1836827e5,"[{""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""r22"", ""new_canonical_key"": ""hvac:air_cooled_modular_heat_pump:parameter:润滑油型号_r22"", ""new_ko_id"": ""ko_32a6334605cafc3b"", ""reason"": ""refrigerant split"", ""review_status"": ""published"", ""title"": ""润滑油型号 R22""}, {""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""r407c"", ""new_canonical_key"": ""hvac:air_cooled_modular_heat_pump:parameter:润滑油型号_r407c"", ""new_ko_id"": ""ko_92e966d1836827e5"", ""reason"": ""refrigerant split"", ""review_status"": ""published"", ""title"": ""润滑油型号 R407C""}]"
ko_7f9870a9f4f55691,split,refrigerant split,ko_87abb28bc981ab98;ko_cf7640cac29bd614;ko_5731046fd666f5ce,"[{""consensus_state"": ""value_disagreement"", ""evidence_count"": 6, ""group_key"": ""generic"", ""new_canonical_key"": ""hvac:air_cooled_modular_heat_pump:performance_spec:名义制冷量_名义制冷量_generic"", ""new_ko_id"": ""ko_87abb28bc981ab98"", ""reason"": ""refrigerant split"", ""review_status"": ""published"", ""title"": ""名义制冷量 GENERIC""}, {""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""r22"", ""new_canonical_key"": ""hvac:air_cooled_modular_heat_pump:performance_spec:名义制冷量_名义制冷量_r22"", ""new_ko_id"": ""ko_cf7640cac29bd614"", ""reason"": ""refrigerant split"", ""review_status"": ""published"", ""title"": ""名义制冷量 R22""}, {""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""r407c"", ""new_canonical_key"": ""hvac:air_cooled_modular_heat_pump:performance_spec:名义制冷量_名义制冷量_r407c"", ""new_ko_id"": ""ko_5731046fd666f5ce"", ""reason"": ""refrigerant split"", ""review_status"": ""published"", ""title"": ""名义制冷量 R407C""}]"
ko_899d764444a01370,split,mode: hold; mode: unload,ko_2e4b51e9fae51a17;ko_d8566a0cf06e9c99,"[{""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""hold_current_limit"", ""new_canonical_key"": ""hvac:screw_chiller:parameter:1_压缩机电流限定值_卸载_hold_current_limit"", ""new_ko_id"": ""ko_2e4b51e9fae51a17"", ""reason"": ""mode: hold"", ""review_status"": ""published"", ""title"": ""1# 压缩机电流限定值(保持)""}, {""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""unload_current_limit"", ""new_canonical_key"": ""hvac:screw_chiller:parameter:1_压缩机电流限定值_卸载_unload_current_limit"", ""new_ko_id"": ""ko_d8566a0cf06e9c99"", ""reason"": ""mode: unload"", ""review_status"": ""published"", ""title"": ""1# 压缩机电流限定值(卸载)""}]"
ko_933017f2e086099d,split,kept alarm rule; section header only,ko_ef1961dcc4c6a5f4;ko_a1a2df084622bb30,"[{""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""zone_temperature_alarm_rule"", ""new_canonical_key"": ""hvac:ahu:fault_diagnostic_rule:zone_temperature_alarms_zone_temperature_alarm_rule"", ""new_ko_id"": ""ko_ef1961dcc4c6a5f4"", ""reason"": ""kept alarm rule"", ""review_status"": ""published"", ""title"": ""Zone Temperature Alarm Rule""}, {""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""rejected_section_header"", ""new_canonical_key"": ""hvac:ahu:fault_diagnostic_rule:zone_temperature_alarms_rejected_section_header"", ""new_ko_id"": ""ko_a1a2df084622bb30"", ""reason"": ""section header only"", ""review_status"": ""rejected"", ""title"": ""Zone Temperature Alarms section header""}]"
ko_d117735fd9164c58,split,refrigerant split,ko_a88cac6fbc0946c7;ko_2aee2bd542069c2a;ko_098aae1272438c0b,"[{""consensus_state"": ""value_disagreement"", ""evidence_count"": 6, ""group_key"": ""generic"", ""new_canonical_key"": ""hvac:air_cooled_modular_heat_pump:performance_spec:名义制热量_名义制热量_generic"", ""new_ko_id"": ""ko_a88cac6fbc0946c7"", ""reason"": ""refrigerant split"", ""review_status"": ""published"", ""title"": ""名义制热量 GENERIC""}, {""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""r407c"", ""new_canonical_key"": ""hvac:air_cooled_modular_heat_pump:performance_spec:名义制热量_名义制热量_r407c"", ""new_ko_id"": ""ko_2aee2bd542069c2a"", ""reason"": ""refrigerant split"", ""review_status"": ""published"", ""title"": ""名义制热量 R407C""}, {""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""r22"", ""new_canonical_key"": ""hvac:air_cooled_modular_heat_pump:performance_spec:名义制热量_名义制热量_r22"", ""new_ko_id"": ""ko_098aae1272438c0b"", ""reason"": ""refrigerant split"", ""review_status"": ""published"", ""title"": ""名义制热量 R22""}]"
ko_d53103623a638535,split,cross-topic voltage evidence; kept ambient condition,ko_8661bc1d95fb04b8;ko_5c913b8d21eeb76e,"[{""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""rejected_voltage_scope"", ""new_canonical_key"": ""hvac:water_source_heat_pump:parameter:设置环境温度范围_rejected_voltage_scope"", ""new_ko_id"": ""ko_8661bc1d95fb04b8"", ""reason"": ""cross-topic voltage evidence"", ""review_status"": ""rejected"", ""title"": ""电源范围误抽取""}, {""consensus_state"": ""value_disagreement"", ""evidence_count"": 2, ""group_key"": ""ambient_temperature_range"", ""new_canonical_key"": ""hvac:water_source_heat_pump:parameter:设置环境温度范围_ambient_temperature_range"", ""new_ko_id"": ""ko_5c913b8d21eeb76e"", ""reason"": ""kept ambient condition"", ""review_status"": ""published"", ""title"": ""设置环境温度范围""}]"
ko_e0075dafbff580a7,split,heating evidence in cooling KO; kept cooling evidence,ko_211117294ea114f5;ko_d6f40ff04baad2d7,"[{""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""cooling_capacity"", ""new_canonical_key"": ""hvac:ahu:performance_spec:制冷量_cooling_capacity"", ""new_ko_id"": ""ko_211117294ea114f5"", ""reason"": ""kept cooling evidence"", ""review_status"": ""published"", ""title"": ""制冷量""}, {""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""rejected_heating_table"", ""new_canonical_key"": ""hvac:ahu:performance_spec:制冷量_rejected_heating_table"", ""new_ko_id"": ""ko_d6f40ff04baad2d7"", ""reason"": ""heating evidence in cooling KO"", ""review_status"": ""rejected"", ""title"": ""制热表格误抽取""}]"
ko_ec0f999bae1fab30,split,cross-topic standard evidence; kept entering water evidence,ko_e62f549a70240f9b;ko_67b3758a0225b9e5,"[{""consensus_state"": ""single_source"", ""evidence_count"": 3, ""group_key"": ""rejected_unrelated_standard"", ""new_canonical_key"": ""hvac:standard_reference:parameter:entering_water_temperature_selection_rejected_unrelated_standard"", ""new_ko_id"": ""ko_e62f549a70240f9b"", ""reason"": ""cross-topic standard evidence"", ""review_status"": ""rejected"", ""title"": ""无关标准证据""}, {""consensus_state"": ""single_source"", ""evidence_count"": 1, ""group_key"": ""entering_water_temperature_selection"", ""new_canonical_key"": ""hvac:standard_reference:parameter:entering_water_temperature_selection_entering_water_temperature_selection"", ""new_ko_id"": ""ko_67b3758a0225b9e5"", ""reason"": ""kept entering water evidence"", ""review_status"": ""published"", ""title"": ""entering water temperature selection""}]"
ko_f8fea0a88ba94ce1,state_only,refrigerant split,,value_disagreement/published
