batch_group,batch_reason,extraction_priority,publisher_or_brand_guess,authority_level_guess,document_kind_guess,equipment_scope_guess,page_count,text_quality,recommended_extraction_mode,size_mb,path
A_standard_authority_first,official/high-authority references; use section/chapter mode and avoid split duplicates,P0_run_first,手册与标准,industry_standard_or_reference,standard_guideline_control_sequences,general_hvac,292,good_text,section_context_or_chapter_batch,10.4,/Volumes/TSD302/19.暖通论文/英文文献/手册与标准/HVAC系统高性能运行序列指南.pdf
A_standard_authority_first,official/high-authority references; use section/chapter mode and avoid split duplicates,P0_official_reference,ASHRAE,industry_standard_or_reference,standard_handbook,general_hvac,,unknown,doc_level_or_section_context,35.14,/Volumes/TSD302/19.暖通论文/英文文献/手册与标准/ASHRAE手册2019.pdf
A_standard_authority_first,official/high-authority references; use section/chapter mode and avoid split duplicates,P0_official_reference,ASHRAE,industry_standard_or_reference,standard_handbook,general_hvac,19,good_text,doc_level_or_section_context,3.51,/Volumes/TSD302/19.暖通论文/英文文献/手册与标准/ASHRAE 211能源审计最佳实践.pdf
A_standard_authority_first,official/high-authority references; use section/chapter mode and avoid split duplicates,P0_official_reference,ASHRAE,industry_standard_or_reference,standard_handbook,general_hvac,401,good_text,section_context_or_chapter_batch,6.58,/Volumes/TSD302/19.暖通论文/英文文献/手册与标准/空调 系统 设计 手册 Ashrae 特别 出版物.pdf
A_standard_authority_first,official/high-authority references; use section/chapter mode and avoid split duplicates,P0_official_reference,ASHRAE,industry_standard_or_reference,standard_handbook,general_hvac,494,good_text,section_context_or_chapter_batch,14.16,/Volumes/TSD302/19.暖通论文/英文文献/手册与标准/ASHRAE绿色建筑指南.pdf
A_standard_authority_first,official/high-authority references; use section/chapter mode and avoid split duplicates,P0_official_reference,ASHRAE,industry_standard_or_reference,standard_handbook,general_hvac,986,good_text,section_context_or_chapter_batch,20.89,/Volumes/TSD302/19.暖通论文/英文文献/手册与标准/ASHRAE手册 - HVAC系统和设备篇.pdf
A_standard_authority_first,official/high-authority references; use section/chapter mode and avoid split duplicates,P0_official_reference,ASHRAE,industry_standard_or_reference,standard_handbook,general_hvac,1006,good_text,section_context_or_chapter_batch,64.06,/Volumes/TSD302/19.暖通论文/英文文献/手册与标准/ASHRAE手册2024.pdf
A_standard_authority_first,official/high-authority references; use section/chapter mode and avoid split duplicates,P0_official_reference,ASHRAE,industry_standard_or_reference,standard_handbook,general_hvac,1014,good_text,section_context_or_chapter_batch,82.82,/Volumes/TSD302/19.暖通论文/英文文献/手册与标准/ASHRAE手册 - 基础理论篇.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,McQuay/Daikin,oem_manual_or_vendor_doc,fault_code_reference,"controller,fault_code",31,good_text,doc_level_single_call,0.46,/Volumes/TSD302/pan/a00238/06、麦克维尔/技术手册/【麦克维尔】MACD模块机组故障分析与排除技术手册（31页）-.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Haier,oem_manual_or_vendor_doc,fault_code_reference,"vrf_vrv,fault_code",111,good_text,doc_level_single_call,2.12,/Volumes/TSD302/pan/a00238/08、海尔中央空调/海尔技术手册/（制冷百家）海尔商用故障代码手册-制冷百家网.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Gree,oem_manual_or_vendor_doc,technical_manual,air_cooled_chiller_heat_pump,15,good_text,doc_level_single_call,1.66,/Volumes/TSD302/pan/a00238/02、格力/技术手册/【格力】中央空调 MB 系列模块式风冷冷（热）水机组手册-.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Kingair,oem_manual_or_vendor_doc,controller_manual,"air_cooled_chiller_heat_pump,controller",17,good_text,doc_level_single_call,1.52,/Volumes/TSD302/pan/a00238/21、国祥/【国祥】模块机控制器规格书.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Gree,oem_manual_or_vendor_doc,technical_manual,air_cooled_chiller_heat_pump,18,good_text,doc_level_single_call,2.8,/Volumes/TSD302/pan/a00238/02、格力/技术手册/【格力】模块风冷冷水机组控制系统手册-.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Mitsubishi Heavy Industries,oem_manual_or_vendor_doc,controller_manual,controller,20,good_text,doc_level_single_call,12.55,/Volumes/TSD302/pan/a00238/07、三菱重工/技术手册/【三菱重工】线控器用户使用说明手册（20页）.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,TICA,oem_manual_or_vendor_doc,operation_installation_manual,"air_cooled_chiller_heat_pump,ahu,controller",21,good_text,doc_level_single_call,1.09,/Volumes/TSD302/pan/a00238/13、天加中央空调/【天加 】风冷净化空调机组安装操作手册.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,York/JCI,oem_manual_or_vendor_doc,controller_manual,"air_cooled_chiller_heat_pump,controller",23,good_text,doc_level_single_call,0.61,/Volumes/TSD302/pan/a00238/04、约克中央空调/约克技术手册/【约克】风冷冷水机组YCAC，YMAC，YSAC通用控制器使用手册3.0.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Carrier,oem_manual_or_vendor_doc,operation_installation_manual,air_cooled_chiller_heat_pump,28,good_text,doc_level_single_call,4.65,/Volumes/TSD302/pan/a00238/03、开利中央空调/技术手册/【开利】30AQ开利风冷式热泵机组（28页）-制冷百家网.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Carrier,oem_manual_or_vendor_doc,service_manual,air_cooled_chiller_heat_pump,28,good_text,doc_level_single_call,4.65,/Volumes/TSD302/pan/a00238/03、开利中央空调/技术手册/【开利】中央空调30AQ风冷式热泵机组安装维修手册（28页）-制冷百家网.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Haier,oem_manual_or_vendor_doc,service_manual,air_cooled_chiller_heat_pump,28,good_text,doc_level_single_call,0.98,/Volumes/TSD302/pan/a00238/08、海尔中央空调/海尔技术手册/【海尔】LSQWRF130C-318C风冷涡旋机组维修手册（28页）-制冷百家网.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Haier,oem_manual_or_vendor_doc,service_manual,air_cooled_chiller_heat_pump,28,good_text,doc_level_single_call,0.98,/Volumes/TSD302/pan/a00238/08、海尔中央空调/海尔技术手册/【海尔】LSQ系列风冷涡旋机组维修手册（32页）-制冷百家网.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Haier,oem_manual_or_vendor_doc,service_manual,fault_code,29,good_text,doc_level_single_call,1.79,/Volumes/TSD302/pan/a00238/08、海尔中央空调/海尔技术手册/【海尔】商用柜机KFR(d)-120LW】维修手册（29页）-制冷百家网.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Midea,oem_manual_or_vendor_doc,service_manual,fault_code,30,good_text,doc_level_single_call,1.68,/Volumes/TSD302/pan/a00238/09、美的/美的技术手册/【美的】高温直热循环式热水机 RSJ 系列 技术手册（30页）-制冷百家网.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,TICA,oem_manual_or_vendor_doc,operation_installation_manual,screw_chiller,32,good_text,doc_level_single_call,4.63,/Volumes/TSD302/pan/a00238/13、天加中央空调/【天加】水冷螺杆式冷水机组操作使用说明书.3.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Trane,oem_manual_or_vendor_doc,operation_installation_manual,"controller,fault_code",32,good_text,doc_level_single_call,2.66,/Volumes/TSD302/pan/a00238/05、特灵中央空调/特灵/【特灵】WPWE040-100热泵空调安装维护手册（32页）-制冷百家网.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Trane,oem_manual_or_vendor_doc,operation_installation_manual,"water_source_heat_pump,controller,fault_code",32,good_text,doc_level_single_call,2.66,/Volumes/TSD302/pan/a00238/05、特灵中央空调/特灵/【特灵】水源热泵空调wpwe技术手册-制冷百家网.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,York/JCI,oem_manual_or_vendor_doc,technical_manual,air_cooled_chiller_heat_pump,33,good_text,doc_level_single_call,3.76,/Volumes/TSD302/pan/a00238/04、约克中央空调/约克技术手册/【约克】YHAC-B风冷空气源热泵机安装调试与维护手册（33页）-制冷百家网.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,TICA,oem_manual_or_vendor_doc,operation_installation_manual,air_cooled_chiller_heat_pump,35,good_text,doc_level_single_call,1.21,/Volumes/TSD302/pan/a00238/13、天加中央空调/【天加 】空调模块机组安装操作手册（22页）.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Dunham-Bush,oem_manual_or_vendor_doc,operation_installation_manual,"screw_chiller,air_cooled_chiller_heat_pump",35,good_text,doc_level_single_call,0.55,/Volumes/TSD302/pan/a00238/18、顿汉布什/【顿汉布什】风冷螺杆安装操作说明书.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,McQuay/Daikin,oem_manual_or_vendor_doc,operation_installation_manual,water_source_heat_pump,36,good_text,doc_level_single_call,0.84,/Volumes/TSD302/pan/a00238/06、麦克维尔/技术手册/【麦克维尔】MWH008～350C(R)水源热泵安装使用说明书（36页）-制冷百家网.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Dunham-Bush,oem_manual_or_vendor_doc,operation_installation_manual,"screw_chiller,air_cooled_chiller_heat_pump",38,good_text,doc_level_single_call,13.52,/Volumes/TSD302/pan/a00238/18、顿汉布什/【顿汉布什】风冷螺杆冷水机组安装操作维修说明书.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Dunham-Bush,oem_manual_or_vendor_doc,operation_installation_manual,"screw_chiller,air_cooled_chiller_heat_pump",38,good_text,doc_level_single_call,12.05,/Volumes/TSD302/pan/a00238/25、其他品牌/顿汉布什风冷螺杆冷水机组安装操作维修说明书.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Trane,oem_manual_or_vendor_doc,operation_installation_manual,controller,39,good_text,doc_level_single_call,3.36,/Volumes/TSD302/pan/a00238/05、特灵中央空调/特灵/【特灵】奥迪斯风管机空调安装操作维护手册（39页）.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Trane,oem_manual_or_vendor_doc,operation_installation_manual,air_cooled_chiller_heat_pump,42,good_text,doc_level_single_call,3.68,/Volumes/TSD302/pan/a00238/05、特灵中央空调/特灵/【特灵】Aquastream风冷式冷水（热泵）机组技术手册（42页）-制冷百家网.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Carrier,oem_manual_or_vendor_doc,technical_manual,air_cooled_chiller_heat_pump,43,good_text,doc_level_single_call,0.66,/Volumes/TSD302/pan/a00238/03、开利中央空调/技术手册/【开利】30RB192-802涡旋式风冷冷水机组开机运行维护手册43页-制冷百家网.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Midea,oem_manual_or_vendor_doc,technical_manual,screw_chiller,44,good_text,doc_level_single_call,1.88,/Volumes/TSD302/pan/a00238/09、美的/美的技术手册/【美的】C系列干式螺杆冷水机组技术手册（44页）-制冷百家网.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Midea,oem_manual_or_vendor_doc,service_manual,fault_code,44,good_text,doc_level_single_call,2.56,/Volumes/TSD302/pan/a00238/09、美的/美的技术手册/【美的】空气能热泵热水机安装使用维修手册(一)（44页）-制冷百家网.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,TICA,oem_manual_or_vendor_doc,operation_installation_manual,"screw_chiller,water_source_heat_pump",46,good_text,doc_level_single_call,1.89,/Volumes/TSD302/pan/a00238/13、天加中央空调/【天加 】满液式水源螺杆热泵机组(用户手册)（46页）.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,York/JCI,oem_manual_or_vendor_doc,service_manual,air_cooled_chiller_heat_pump,46,good_text,doc_level_single_call,8.26,/Volumes/TSD302/pan/a00238/04、约克中央空调/约克技术手册/【约克】YMAC风冷冷水热泵机组维修手册（46页）-制冷百家网.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,McQuay/Daikin,oem_manual_or_vendor_doc,technical_manual,air_cooled_chiller_heat_pump,46,good_text,doc_level_single_call,1.36,/Volumes/TSD302/pan/a00238/06、麦克维尔/技术手册/【麦克维尔】MAC210 风冷模块机使用及安装手册（49页）-.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,McQuay/Daikin,oem_manual_or_vendor_doc,technical_manual,air_cooled_chiller_heat_pump,46,good_text,doc_level_single_call,0.95,/Volumes/TSD302/pan/a00238/06、麦克维尔/技术手册/【麦克维尔】MAC340-450大容量风冷模块机安装说明书-.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Mitsubishi Heavy Industries,oem_manual_or_vendor_doc,controller_manual,controller,47,good_text,doc_level_single_call,1.38,/Volumes/TSD302/pan/a00238/07、三菱重工/技术手册/【三菱重工】eco-touch 触摸线控器技术手册（47页）.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,York/JCI,oem_manual_or_vendor_doc,technical_manual,screw_chiller,47,good_text,doc_level_single_call,0.95,/Volumes/TSD302/pan/a00238/04、约克中央空调/约克技术手册/【约克】RWF螺杆压缩机组100-480安装、操作、维护手册（47页）-制冷百家网.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,McQuay/Daikin,oem_manual_or_vendor_doc,technical_manual,"centrifugal_chiller,controller",47,good_text,doc_level_single_call,2.25,/Volumes/TSD302/pan/a00238/06、麦克维尔/技术手册/【麦克维尔】WSC WDC HSC HDC单／双压缩机离心式安装维护手册（49页）-制冷百家网.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,McQuay/Daikin,oem_manual_or_vendor_doc,service_manual,"centrifugal_chiller,controller",47,good_text,doc_level_single_call,2.23,/Volumes/TSD302/pan/a00238/06、麦克维尔/技术手册/【麦克维尔】单、双压缩机离心式冷水机组安装维修手册.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Hitachi,oem_manual_or_vendor_doc,technical_manual,screw_chiller,48,good_text,doc_level_single_call,1.78,/Volumes/TSD302/pan/a00238/12、日立空调/技术手册/【日立】RCU螺杆冷冻机组安装维护技术手册（48页）.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,York/JCI,oem_manual_or_vendor_doc,operation_installation_manual,air_cooled_chiller_heat_pump,48,good_text,doc_level_single_call,6.55,/Volumes/TSD302/pan/a00238/04、约克中央空调/约克技术手册/【约克】YCAB风冷涡旋冷水热泵机组安装操作维护手册（48页）-制冷百家网.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Hitachi,oem_manual_or_vendor_doc,technical_manual,"screw_chiller,air_cooled_chiller_heat_pump",49,good_text,doc_level_single_call,2.14,/Volumes/TSD302/pan/a00238/12、日立空调/技术手册/【日立】风冷热泵H系列螺杆机组手册（49页）.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,McQuay/Daikin,oem_manual_or_vendor_doc,controller_manual,"centrifugal_chiller,controller",52,good_text,doc_level_single_call,2.8,/Volumes/TSD302/pan/a00238/06、麦克维尔/技术手册/【麦克维尔】PE、WS 系列进口离心机组操作维护手册（49页）-.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,McQuay/Daikin,oem_manual_or_vendor_doc,controller_manual,"air_cooled_chiller_heat_pump,controller",54,good_text,doc_level_single_call,1.52,/Volumes/TSD302/pan/a00238/06、麦克维尔/技术手册/【麦克维尔】MCOSKILL 控制器安装手册 适用MHS、MCS机组（54页）-制冷百家网.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Trane,oem_manual_or_vendor_doc,operation_installation_manual,"water_source_heat_pump,controller",56,good_text,doc_level_single_call,4.24,/Volumes/TSD302/pan/a00238/05、特灵中央空调/特灵/【特灵】HWWD水源热泵安装操作维护手册（56页）-制冷百家网.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,York/JCI,oem_manual_or_vendor_doc,operation_installation_manual,screw_chiller,56,good_text,doc_level_single_call,30.79,/Volumes/TSD302/pan/a00238/04、约克中央空调/约克技术手册/【约克】RWB-Ⅱ螺杆压缩机机组安装操作维护手册（56页）-制冷百家网.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,York/JCI,oem_manual_or_vendor_doc,technical_manual,air_cooled_chiller_heat_pump,58,good_text,doc_level_single_call,1.58,/Volumes/TSD302/pan/a00238/04、约克中央空调/约克技术手册/【约克】YCAE  模块式风冷热泵机组安装、操作和维护手册（58页）-制冷百家网.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Midea,oem_manual_or_vendor_doc,service_manual,controller,58,good_text,doc_level_single_call,5.45,/Volumes/TSD302/pan/a00238/09、美的/美的技术手册/【美的】商用空气能热泵热水机使用手册（58页）-制冷百家网.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,York/JCI,oem_manual_or_vendor_doc,technical_manual,air_cooled_chiller_heat_pump,59,good_text,doc_level_single_call,8.94,/Volumes/TSD302/pan/a00238/04、约克中央空调/约克技术手册/【约克】YCAE-B模块式风冷涡旋（59页）（08年后生产的适用）-制冷百家网.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Mitsubishi Heavy Industries,oem_manual_or_vendor_doc,operation_installation_manual,controller,60,good_text,doc_level_single_call,2.67,/Volumes/TSD302/pan/a00238/07、三菱重工/技术手册/【三菱重工】eco-touch 触摸线控器使用手册（60页）.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Midea,oem_manual_or_vendor_doc,controller_manual,controller,60,good_text,doc_level_single_call,2.9,/Volumes/TSD302/pan/a00238/09、美的/美的技术手册/【美的】商用空气能热泵热水机技术手册（60页）-制冷百家网.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Midea,oem_manual_or_vendor_doc,service_manual,fault_code,60,good_text,doc_level_single_call,4.39,/Volumes/TSD302/pan/a00238/09、美的/美的技术手册/【美的】空气能热泵热水机安装使用维修手册(二)（60页）-制冷百家网.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Daikin,oem_manual_or_vendor_doc,service_manual,air_cooled_chiller_heat_pump,61,good_text,doc_level_single_call,3.22,/Volumes/TSD302/pan/a00238/01、大金中央空调/技术、维修手册/【大金】UWY风冷冷水机组使用说明书（61页）制冷百家网.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Carrier,oem_manual_or_vendor_doc,technical_manual,"screw_chiller,air_cooled_chiller_heat_pump",62,good_text,doc_level_single_call,0.93,/Volumes/TSD302/pan/a00238/03、开利中央空调/技术手册/【开利】30XAXQ 螺杆式风冷冷水(热泵)机组开机运行维护手册62页-制冷百家网.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,McQuay/Daikin,oem_manual_or_vendor_doc,technical_manual,screw_chiller,63,good_text,doc_level_single_call,1.95,/Volumes/TSD302/pan/a00238/06、麦克维尔/技术手册/【麦克维尔】WMD单螺杆安装维护手册（63页）-.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,McQuay/Daikin,oem_manual_or_vendor_doc,technical_manual,screw_chiller,64,good_text,doc_level_single_call,1.9,/Volumes/TSD302/pan/a00238/06、麦克维尔/技术手册/【麦克维尔】MS型半封闭单螺杆式压缩机维护手册（64页）-.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Gree,oem_manual_or_vendor_doc,technical_manual,"centrifugal_chiller,air_cooled_chiller_heat_pump",67,good_text,doc_level_single_call,1.67,/Volumes/TSD302/pan/a00238/02、格力/技术手册/【格力】模块式风冷冷(热)水机组技术手册（67页）-.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Carrier,oem_manual_or_vendor_doc,technical_manual,"screw_chiller,air_cooled_chiller_heat_pump",68,good_text,doc_level_single_call,1.12,/Volumes/TSD302/pan/a00238/03、开利中央空调/技术手册/【开利】30XAXQ开机运行维护手册-制冷百家网.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Gree,oem_manual_or_vendor_doc,technical_manual,centrifugal_chiller,69,good_text,doc_level_single_call,5.74,/Volumes/TSD302/pan/a00238/02、格力/技术手册/【格力】C系列离心式冷水机组技术手册（69页）-.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Gree,oem_manual_or_vendor_doc,technical_manual,centrifugal_chiller,69,good_text,doc_level_single_call,5.74,/Volumes/TSD302/pan/a00238/02、格力/技术手册/【格力】C系列离心式冷水机组技术服务手册（69页）-.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,McQuay/Daikin,oem_manual_or_vendor_doc,controller_manual,controller,70,good_text,doc_level_single_call,2.96,/Volumes/TSD302/pan/a00238/06、麦克维尔/技术手册/（制冷百家）麦克维尔MAC模块机应用手册1-制冷百家网.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Trane,oem_manual_or_vendor_doc,service_manual,air_cooled_chiller_heat_pump,71,good_text,doc_level_single_call,2.35,/Volumes/TSD302/pan/a00238/05、特灵中央空调/特灵/【特灵】Coolman风冷热泵式冷水机组安装维修手册.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Midea,oem_manual_or_vendor_doc,technical_manual,water_source_heat_pump,72,good_text,doc_level_single_call,3.04,/Volumes/TSD302/pan/a00238/09、美的/美的技术手册/【美的】水冷柜机 水环热泵技术手册（72页）-制冷百家网.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Haier,oem_manual_or_vendor_doc,controller_manual,"vrf_vrv,controller",74,good_text,doc_level_single_call,3.83,/Volumes/TSD302/pan/a00238/08、海尔中央空调/海尔技术手册/（制冷百家）海尔KVR家庭中央空调R410A直流变频系列资料-制冷百家网.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Gree,oem_manual_or_vendor_doc,technical_manual,centrifugal_chiller,76,good_text,doc_level_single_call,1.65,/Volumes/TSD302/pan/a00238/02、格力/技术手册/【格力】中央空调水冷柜机技术服务手册76页-.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Carrier,oem_manual_or_vendor_doc,technical_manual,screw_chiller,79,good_text,doc_level_single_call,3.59,/Volumes/TSD302/pan/a00238/03、开利中央空调/技术手册/【开利】30HXC-HP开机 运行维护手册79页-制冷百家网.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Carrier,oem_manual_or_vendor_doc,technical_manual,screw_chiller,82,good_text,doc_level_single_call,1.47,/Volumes/TSD302/pan/a00238/03、开利中央空调/技术手册/【开利】30HXY、HXC螺杆机开机、运行维护手册82页-制冷百家网.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Haier,oem_manual_or_vendor_doc,service_manual,screw_chiller,82,good_text,doc_level_single_call,2.2,/Volumes/TSD302/pan/a00238/08、海尔中央空调/海尔技术手册/【海尔】LSBLG满液式水冷螺杆机组维修手册（82页）-制冷百家网.pdf
